trip_id,start_time,end_time,headway_secs,exact_times
pWepmxeL_16_00,06:00:00,23:00:00,3600,0
pWepmxeL_17_00,06:00:00,23:00:00,3600,0
pWepmxeL_18_00,06:00:00,23:00:00,3600,0
pWepmxeL_19_00,06:00:00,23:00:00,3600,0
pWepmxeL_20_00,06:00:00,23:00:00,3600,0
pWepmxeL_21_00,06:00:00,23:00:00,3600,0
pWepmxeL_22_00,06:00:00,23:00:00,3600,0
pWepmxeL_23_00,06:00:00,23:00:00,3600,0
qKuJqSNy_06_00,06:00:00,23:00:00,3600,0
qKuJqSNy_07_00,06:00:00,23:00:00,3600,0
qKuJqSNy_08_00,06:00:00,23:00:00,3600,0
qKuJqSNy_09_00,06:00:00,23:00:00,3600,0
qKuJqSNy_10_00,06:00:00,23:00:00,3600,0
qKuJqSNy_11_00,06:00:00,23:00:00,3600,0
qKuJqSNy_12_00,06:00:00,23:00:00,3600,0
qKuJqSNy_13_00,06:00:00,23:00:00,3600,0
qKuJqSNy_14_00,06:00:00,23:00:00,3600,0
qKuJqSNy_15_00,06:00:00,23:00:00,3600,0
qKuJqSNy_16_00,06:00:00,23:00:00,3600,0
qKuJqSNy_17_00,06:00:00,23:00:00,3600,0
qKuJqSNy_18_00,06:00:00,23:00:00,3600,0
qKuJqSNy_19_00,06:00:00,23:00:00,3600,0
qKuJqSNy_20_00,06:00:00,23:00:00,3600,0
qKuJqSNy_21_00,06:00:00,23:00:00,3600,0
qKuJqSNy_22_00,06:00:00,23:00:00,3600,0
qKuJqSNy_23_00,06:00:00,23:00:00,3600,0
pJUwepTi_06_00,06:00:00,23:00:00,3600,0
pJUwepTi_07_00,06:00:00,23:00:00,3600,0
pJUwepTi_08_00,06:00:00,23:00:00,3600,0
pJUwepTi_09_00,06:00:00,23:00:00,3600,0
pJUwepTi_10_00,06:00:00,23:00:00,3600,0
pJUwepTi_11_00,06:00:00,23:00:00,3600,0
pJUwepTi_12_00,06:00:00,23:00:00,3600,0
pJUwepTi_13_00,06:00:00,23:00:00,3600,0
pJUwepTi_14_00,06:00:00,23:00:00,3600,0
pJUwepTi_15_00,06:00:00,23:00:00,3600,0
pJUwepTi_16_00,06:00:00,23:00:00,3600,0
pJUwepTi_17_00,06:00:00,23:00:00,3600,0
pJUwepTi_18_00,06:00:00,23:00:00,3600,0
pJUwepTi_19_00,06:00:00,23:00:00,3600,0
pJUwepTi_20_00,06:00:00,23:00:00,3600,0
pJUwepTi_21_00,06:00:00,23:00:00,3600,0
pJUwepTi_22_00,06:00:00,23:00:00,3600,0
pJUwepTi_23_00,06:00:00,23:00:00,3600,0
dbcQKxae_06_00,06:00:00,23:00:00,3600,0
dbcQKxae_07_00,06:00:00,23:00:00,3600,0
dbcQKxae_08_00,06:00:00,23:00:00,3600,0
dbcQKxae_09_00,06:00:00,23:00:00,3600,0
dbcQKxae_10_00,06:00:00,23:00:00,3600,0
dbcQKxae_11_00,06:00:00,23:00:00,3600,0
dbcQKxae_12_00,06:00:00,23:00:00,3600,0
dbcQKxae_13_00,06:00:00,23:00:00,3600,0
dbcQKxae_14_00,06:00:00,23:00:00,3600,0
dbcQKxae_15_00,06:00:00,23:00:00,3600,0
dbcQKxae_16_00,06:00:00,23:00:00,3600,0
dbcQKxae_17_00,06:00:00,23:00:00,3600,0
dbcQKxae_18_00,06:00:00,23:00:00,3600,0
dbcQKxae_19_00,06:00:00,23:00:00,3600,0
dbcQKxae_20_00,06:00:00,23:00:00,3600,0
dbcQKxae_21_00,06:00:00,23:00:00,3600,0
dbcQKxae_22_00,06:00:00,23:00:00,3600,0
dbcQKxae_23_00,06:00:00,23:00:00,3600,0
KEmaFkWS_06_00,06:00:00,23:00:00,3600,0
KEmaFkWS_07_00,06:00:00,23:00:00,3600,0
KEmaFkWS_08_00,06:00:00,23:00:00,3600,0
KEmaFkWS_09_00,06:00:00,23:00:00,3600,0
KEmaFkWS_10_00,06:00:00,23:00:00,3600,0
KEmaFkWS_11_00,06:00:00,23:00:00,3600,0
KEmaFkWS_12_00,06:00:00,23:00:00,3600,0
KEmaFkWS_13_00,06:00:00,23:00:00,3600,0
KEmaFkWS_14_00,06:00:00,23:00:00,3600,0
KEmaFkWS_15_00,06:00:00,23:00:00,3600,0
KEmaFkWS_16_00,06:00:00,23:00:00,3600,0
KEmaFkWS_17_00,06:00:00,23:00:00,3600,0
KEmaFkWS_18_00,06:00:00,23:00:00,3600,0
KEmaFkWS_19_00,06:00:00,23:00:00,3600,0
KEmaFkWS_20_00,06:00:00,23:00:00,3600,0
KEmaFkWS_21_00,06:00:00,23:00:00,3600,0
KEmaFkWS_22_00,06:00:00,23:00:00,3600,0
KEmaFkWS_23_00,06:00:00,23:00:00,3600,0
qRLNFQvE_06_00,06:00:00,23:00:00,3600,0
qRLNFQvE_07_00,06:00:00,23:00:00,3600,0
qRLNFQvE_08_00,06:00:00,23:00:00,3600,0
qRLNFQvE_09_00,06:00:00,23:00:00,3600,0
qRLNFQvE_10_00,06:00:00,23:00:00,3600,0
qRLNFQvE_11_00,06:00:00,23:00:00,3600,0
qRLNFQvE_12_00,06:00:00,23:00:00,3600,0
qRLNFQvE_13_00,06:00:00,23:00:00,3600,0
qRLNFQvE_14_00,06:00:00,23:00:00,3600,0
