route_id,service_id,trip_id,trip_headsign,shape_id
86117,WD,WD861917,Washermenpet Metro,sh12
86117,WD,WD862001,Washermenpet Metro,sh12
01101,WD,WD012002,Airport,sh11
86117,WD,WD862003,Washermenpet Metro,sh12
23117,WD,WD232101,Puratchi Thalaivar Dr.M.G.Ramachandran Central,sh14
02201,WD,WD022102,Airport,sh13
23117,WD,WD232103,Puratchi Thalaivar Dr.M.G.Ramachandran Central,sh14
86117,WD,WD862201,Washermenpet Metro,sh12
01101,WD,WD012202,Airport,sh11
86117,WD,WD862203,Washermenpet Metro,sh12
17201,WD,WD172301,St.Thomas Mount,sh7
24217,WD,WD242302,Puratchi Thalaivar Dr.M.G.Ramachandran Central,sh8
17201,WD,WD172303,St.Thomas Mount,sh7
24217,WD,WD242304,Puratchi Thalaivar Dr.M.G.Ramachandran Central,sh8
17201,WD,WD172305,St.Thomas Mount,sh7
24217,WD,WD242306,Puratchi Thalaivar Dr.M.G.Ramachandran Central,sh8
17201,WD,WD172307,St.Thomas Mount,sh7
24217,WD,WD242308,Puratchi Thalaivar Dr.M.G.Ramachandran Central,sh8
17201,WD,WD172309,St.Thomas Mount,sh7
24217,WD,WD242310,Puratchi Thalaivar Dr.M.G.Ramachandran Central,sh8
17201,WD,WD172311,St.Thomas Mount,sh7
24217,WD,WD242312,Puratchi Thalaivar Dr.M.G.Ramachandran Central,sh8
17201,WD,WD172313,St.Thomas Mount,sh7
24217,WD,WD242314,Puratchi Thalaivar Dr.M.G.Ramachandran Central,sh8
17201,WD,WD172315,St.Thomas Mount,sh7
24217,WD,WD242316,Puratchi Thalaivar Dr.M.G.Ramachandran Central,sh8
01101,WD,WD012401,Airport,sh11
86117,WD,WD862402,Washermenpet Metro,sh12
01101,WD,WD012403,Airport,sh11
02201,WD,WD022501,Airport,sh13
23117,WD,WD232502,Puratchi Thalaivar Dr.M.G.Ramachandran Central,sh14
02201,WD,WD022503,Airport,sh13
24217,WD,WD242601,Puratchi Thalaivar Dr.M.G.Ramachandran Central,sh8
17201,WD,WD172602,St.Thomas Mount,sh7
24217,WD,WD242603,Puratchi Thalaivar Dr.M.G.Ramachandran Central,sh8
17201,WD,WD172604,St.Thomas Mount,sh7
24217,WD,WD242605,Puratchi Thalaivar Dr.M.G.Ramachandran Central,sh8
17201,WD,WD172606,St.Thomas Mount,sh7
24217,WD,WD242607,Puratchi Thalaivar Dr.M.G.Ramachandran Central,sh8
17201,WD,WD172608,St.Thomas Mount,sh7
24217,WD,WD242609,Puratchi Thalaivar Dr.M.G.Ramachandran Central,sh8
17201,WD,WD172610,St.Thomas Mount,sh7
24217,WD,WD242611,Puratchi Thalaivar Dr.M.G.Ramachandran Central,sh8
17201,WD,WD172612,St.Thomas Mount,sh7
24217,WD,WD242613,Puratchi Thalaivar Dr.M.G.Ramachandran Central,sh8
17201,WD,WD172614,St.Thomas Mount,sh7
24217,WD,WD242615,Puratchi Thalaivar Dr.M.G.Ramachandran Central,sh8
17201,WD,WD172616,St.Thomas Mount,sh7
86117,WD,WD862701,Washermenpet Metro,sh12
01101,WD,WD012702,Airport,sh11
86117,WD,WD862703,Washermenpet Metro,sh12
01101,WD,WD012801,Airport,sh11
86117,WD,WD862802,Washermenpet Metro,sh12
01101,WD,WD012803,Airport,sh11
23117,WD,WD232901,Puratchi Thalaivar Dr.M.G.Ramachandran Central,sh14
02201,WD,WD022902,Airport,sh13
23117,WD,WD232903,Puratchi Thalaivar Dr.M.G.Ramachandran Central,sh14
