fare_id,route_id,origin_id,destination_id
F0,,SWA,SWA
F6,,SSI,SWA
F6,,SAN,SWA
F6,,SVA,SWA
F5,,SAR,SWA
F5,,SCM,SWA
F5,,SKO,SWA
F5,,STI,SWA
F5,,SAT,SWA
F4,,SAE,SWA
F4,,SSN,SWA
F4,,SPC,SWA
F4,,SKM,SWA
F4,,SNP,SWA
F3,,SEG,SWA
F6,,SMM,SWA
F4,,SAP,SSI
F3,,SME,SSI
F2,,SOT,SSI
F1,,SAL,SSI
F2,,SGU,SSI
F2,,SLM,SSI
F3,,SSA,SSI
F4,,SCR,SSI
F4,,STE,SSI
F4,,SGM,SSI
F4,,STL,SSI
F4,,SLI,SSI
F5,,SGE,SSI
F5,,SCC,SSI
F5,,SHC,SSI
F5,,SMA,SSI
F6,,SWA,SSI
F0,,SSI,SSI
F2,,SAN,SSI
F2,,SVA,SSI
F3,,SAR,SSI
F4,,SCM,SSI
F4,,SKO,SSI
F4,,STI,SSI
F4,,SAT,SSI
F4,,SAE,SSI
F5,,SSN,SSI
F5,,SPC,SSI
F5,,SKM,SSI
F5,,SNP,SSI
F5,,SEG,SSI
F2,,SMM,SSI
F4,,SAP,SAN
F4,,SME,SAN
F3,,SOT,SAN
F2,,SAL,SAN
F3,,SGU,SAN
F4,,SLM,SAN
F4,,SSA,SAN
F4,,SCR,SAN
F4,,STE,SAN
F4,,SGM,SAN
F5,,STL,SAN
F5,,SLI,SAN
F5,,SGE,SAN
F5,,SCC,SAN
F5,,SHC,SAN
F6,,SMA,SAN
F6,,SWA,SAN
F2,,SSI,SAN
F0,,SAN,SAN
F1,,SVA,SAN
F2,,SAR,SAN
F3,,SCM,SAN
F3,,SKO,SAN
F4,,STI,SAN
F4,,SAT,SAN
F4,,SAE,SAN
F4,,SSN,SAN
F4,,SPC,SAN
F5,,SKM,SAN
F5,,SNP,SAN
F5,,SEG,SAN
F3,,SMM,SAN
F4,,SAP,SVA
F4,,SME,SVA
F4,,SOT,SVA
F3,,SAL,SVA
F4,,SGU,SVA
F4,,SLM,SVA
F4,,SSA,SVA
F4,,SCR,SVA
F4,,STE,SVA
F5,,SGM,SVA
F5,,STL,SVA
F5,,SLI,SVA
F5,,SGE,SVA
F5,,SCC,SVA
F5,,SHC,SVA
F5,,SMA,SVA
F6,,SWA,SVA
F2,,SSI,SVA
F1,,SAN,SVA
F0,,SVA,SVA
F1,,SAR,SVA
F2,,SCM,SVA
F2,,SKO,SVA
F3,,STI,SVA
F4,,SAT,SVA
F4,,SAE,SVA
F4,,SSN,SVA
F4,,SPC,SVA
F4,,SKM,SVA
F4,,SNP,SVA
F5,,SEG,SVA
F4,,SMM,SVA
F4,,SAP,SAR
F4,,SME,SAR
F4,,SOT,SAR
F4,,SAL,SAR
F4,,SGU,SAR
F4,,SLM,SAR
F4,,SSA,SAR
F5,,SCR,SAR
F5,,STE,SAR
F5,,SGM,SAR
F5,,STL,SAR
F5,,SLI,SAR
F5,,SGE,SAR
F5,,SCC,SAR
F5,,SHC,SAR
F5,,SMA,SAR
F5,,SWA,SAR
F3,,SSI,SAR
F2,,SAN,SAR
F1,,SVA,SAR
F0,,SAR,SAR
F1,,SCM,SAR
F2,,SKO,SAR
F3,,STI,SAR
F3,,SAT,SAR
F4,,SAE,SAR
F4,,SSN,SAR
F4,,SPC,SAR
F4,,SKM,SAR
F4,,SNP,SAR
F4,,SEG,SAR
F4,,SMM,SAR
F5,,SAP,SCM
F4,,SME,SCM
F4,,SOT,SCM
F4,,SAL,SCM
F4,,SGU,SCM
F4,,SLM,SCM
F4,,SSA,SCM
F5,,SCR,SCM
F5,,STE,SCM
F5,,SGM,SCM
F5,,STL,SCM
F5,,SLI,SCM
F5,,SGE,SCM
F4,,SCC,SCM
F5,,SHC,SCM
F5,,SMA,SCM
F5,,SWA,SCM
F4,,SSI,SCM
F3,,SAN,SCM
F2,,SVA,SCM
F1,,SAR,SCM
F0,,SCM,SCM
F1,,SKO,SCM
F2,,STI,SCM
F2,,SAT,SCM
F3,,SAE,SCM
F4,,SSN,SCM
F4,,SPC,SCM
F4,,SKM,SCM
F4,,SNP,SCM
F4,,SEG,SCM
F4,,SMM,SCM
F5,,SAP,SKO
F5,,SME,SKO
F4,,SOT,SKO
F4,,SAL,SKO
F4,,SGU,SKO
F4,,SLM,SKO
F5,,SSA,SKO
F5,,SCR,SKO
F5,,STE,SKO
F5,,SGM,SKO
F5,,STL,SKO
F5,,SLI,SKO
F5,,SGE,SKO
F4,,SCC,SKO
F5,,SHC,SKO
F5,,SMA,SKO
F5,,SWA,SKO
F4,,SSI,SKO
F3,,SAN,SKO
F2,,SVA,SKO
F2,,SAR,SKO
F1,,SCM,SKO
F0,,SKO,SKO
F1,,STI,SKO
F2,,SAT,SKO
F2,,SAE,SKO
F3,,SSN,SKO
F3,,SPC,SKO
F4,,SKM,SKO
F4,,SNP,SKO
F4,,SEG,SKO
F4,,SMM,SKO
F5,,SAP,STI
F5,,SME,STI
F5,,SOT,STI
F4,,SAL,STI
F5,,SGU,STI
F5,,SLM,STI
F5,,SSA,STI
F5,,SCR,STI
F5,,STE,STI
F5,,SGM,STI
F5,,STL,STI
F4,,SLI,STI
F4,,SGE,STI
F4,,SCC,STI
F4,,SHC,STI
F4,,SMA,STI
F5,,SWA,STI
F4,,SSI,STI
F4,,SAN,STI
F3,,SVA,STI
F3,,SAR,STI
F2,,SCM,STI
F1,,SKO,STI
F0,,STI,STI
F1,,SAT,STI
F1,,SAE,STI
F2,,SSN,STI
F3,,SPC,STI
F3,,SKM,STI
F4,,SNP,STI
F4,,SEG,STI
F5,,SMM,STI
F5,,SAP,SAT
F5,,SME,SAT
F5,,SOT,SAT
F4,,SAL,SAT
F5,,SGU,SAT
F5,,SLM,SAT
F5,,SSA,SAT
F5,,SCR,SAT
F5,,STE,SAT
F5,,SGM,SAT
F4,,STL,SAT
F4,,SLI,SAT
F4,,SGE,SAT
F4,,SCC,SAT
F4,,SHC,SAT
F4,,SMA,SAT
F5,,SWA,SAT
F4,,SSI,SAT
F4,,SAN,SAT
F4,,SVA,SAT
F3,,SAR,SAT
F2,,SCM,SAT
F2,,SKO,SAT
F1,,STI,SAT
F0,,SAT,SAT
F1,,SAE,SAT
F2,,SSN,SAT
F2,,SPC,SAT
F3,,SKM,SAT
F3,,SNP,SAT
F4,,SEG,SAT
F5,,SMM,SAT
F5,,SAP,SAE
F5,,SME,SAE
F5,,SOT,SAE
F5,,SAL,SAE
F5,,SGU,SAE
F5,,SLM,SAE
F5,,SSA,SAE
F5,,SCR,SAE
F5,,STE,SAE
F5,,SGM,SAE
F4,,STL,SAE
F4,,SLI,SAE
F4,,SGE,SAE
F4,,SCC,SAE
F4,,SHC,SAE
F4,,SMA,SAE
F4,,SWA,SAE
F4,,SSI,SAE
F4,,SAN,SAE
F4,,SVA,SAE
F4,,SAR,SAE
F3,,SCM,SAE
F2,,SKO,SAE
F1,,STI,SAE
F1,,SAT,SAE
F0,,SAE,SAE
F1,,SSN,SAE
F2,,SPC,SAE
F2,,SKM,SAE
F3,,SNP,SAE
F3,,SEG,SAE
F5,,SMM,SAE
F6,,SAP,SSN
F5,,SME,SSN
F5,,SOT,SSN
F5,,SAL,SSN
F5,,SGU,SSN
F5,,SLM,SSN
F5,,SSA,SSN
F5,,SCR,SSN
F5,,STE,SSN
F4,,SGM,SSN
F4,,STL,SSN
F4,,SLI,SSN
F4,,SGE,SSN
F3,,SCC,SSN
F4,,SHC,SSN
F4,,SMA,SSN
F4,,SWA,SSN
F5,,SSI,SSN
F4,,SAN,SSN
F4,,SVA,SSN
F4,,SAR,SSN
F4,,SCM,SSN
F3,,SKO,SSN
F2,,STI,SSN
F2,,SAT,SSN
F1,,SAE,SSN
F0,,SSN,SSN
F1,,SPC,SSN
F2,,SKM,SSN
F2,,SNP,SSN
F3,,SEG,SSN
F5,,SMM,SSN
F6,,SAP,SPC
F6,,SME,SPC
F5,,SOT,SPC
F5,,SAL,SPC
F5,,SGU,SPC
F5,,SLM,SPC
F5,,SSA,SPC
F4,,SCR,SPC
F4,,STE,SPC
F4,,SGM,SPC
F4,,STL,SPC
F4,,SLI,SPC
F4,,SGE,SPC
F3,,SCC,SPC
F3,,SHC,SPC
F4,,SMA,SPC
F4,,SWA,SPC
F5,,SSI,SPC
F4,,SAN,SPC
F4,,SVA,SPC
F4,,SAR,SPC
F4,,SCM,SPC
F3,,SKO,SPC
F3,,STI,SPC
F2,,SAT,SPC
F2,,SAE,SPC
F1,,SSN,SPC
F0,,SPC,SPC
F1,,SKM,SPC
F1,,SNP,SPC
F2,,SEG,SPC
F5,,SMM,SPC
F6,,SAP,SKM
F6,,SME,SKM
F5,,SOT,SKM
F5,,SAL,SKM
F5,,SGU,SKM
F5,,SLM,SKM
F5,,SSA,SKM
F4,,SCR,SKM
F4,,STE,SKM
F4,,SGM,SKM
F4,,STL,SKM
F4,,SLI,SKM
F3,,SGE,SKM
F2,,SCC,SKM
F3,,SHC,SKM
F3,,SMA,SKM
F4,,SWA,SKM
F5,,SSI,SKM
F5,,SAN,SKM
F4,,SVA,SKM
F4,,SAR,SKM
F4,,SCM,SKM
F4,,SKO,SKM
F3,,STI,SKM
F3,,SAT,SKM
F2,,SAE,SKM
F2,,SSN,SKM
F1,,SPC,SKM
F0,,SKM,SKM
F1,,SNP,SKM
F1,,SEG,SKM
F5,,SMM,SKM
F6,,SAP,SNP
F6,,SME,SNP
F5,,SOT,SNP
F5,,SAL,SNP
F5,,SGU,SNP
F5,,SLM,SNP
F4,,SSA,SNP
F4,,SCR,SNP
F4,,STE,SNP
F4,,SGM,SNP
F4,,STL,SNP
